id,product_title,price,image1,image2,image3,color,department
12,Wine - Casillero Deldiablo,67,http://dummyimage.com/136x163.png/cc0000/ffffff,http://dummyimage.com/113x178.png/dddddd/000000,http://dummyimage.com/100x175.png/dddddd/000000,Yellow,Games
13,Extract - Almond,10,http://dummyimage.com/223x112.png/dddddd/000000,http://dummyimage.com/127x217.png/cc0000/ffffff,http://dummyimage.com/135x149.png/ff4444/ffffff,Blue,Sports
14,Bagel - Ched Chs Presliced,51,http://dummyimage.com/243x138.png/dddddd/000000,http://dummyimage.com/129x234.png/ff4444/ffffff,http://dummyimage.com/237x207.png/5fa2dd/ffffff,Fuscia,Beauty
15,Snapple - Iced Tea Peach,98,http://dummyimage.com/206x140.png/cc0000/ffffff,http://dummyimage.com/170x194.png/5fa2dd/ffffff,http://dummyimage.com/198x140.png/ff4444/ffffff,Yellow,Electronics
16,Ice Cream Bar - Drumstick,86,http://dummyimage.com/142x172.png/ff4444/ffffff,http://dummyimage.com/238x203.png/dddddd/000000,http://dummyimage.com/101x192.png/ff4444/ffffff,Mauv,Sports
17,Tuna - Fresh,38,http://dummyimage.com/200x117.png/5fa2dd/ffffff,http://dummyimage.com/231x165.png/dddddd/000000,http://dummyimage.com/163x133.png/cc0000/ffffff,Violet,Industrial
18,Godiva White Chocolate,78,http://dummyimage.com/200x134.png/cc0000/ffffff,http://dummyimage.com/246x152.png/cc0000/ffffff,http://dummyimage.com/197x236.png/5fa2dd/ffffff,Aquamarine,Computers
19,Beef Cheek Fresh,75,http://dummyimage.com/116x193.png/5fa2dd/ffffff,http://dummyimage.com/106x132.png/5fa2dd/ffffff,http://dummyimage.com/197x225.png/5fa2dd/ffffff,Maroon,Grocery
20,"Crab - Claws, 26 - 30",57,http://dummyimage.com/192x229.png/5fa2dd/ffffff,http://dummyimage.com/169x181.png/cc0000/ffffff,http://dummyimage.com/110x171.png/ff4444/ffffff,Khaki,Books
21,Sambuca - Opal Nera,9,http://dummyimage.com/141x246.png/ff4444/ffffff,http://dummyimage.com/180x156.png/cc0000/ffffff,http://dummyimage.com/231x149.png/5fa2dd/ffffff,Turquoise,Toys
22,Sour Puss Sour Apple,50,http://dummyimage.com/220x201.png/5fa2dd/ffffff,http://dummyimage.com/207x211.png/dddddd/000000,http://dummyimage.com/162x214.png/dddddd/000000,Indigo,Sports
23,Chivas Regal - 12 Year Old,9,http://dummyimage.com/120x168.png/dddddd/000000,http://dummyimage.com/145x112.png/ff4444/ffffff,http://dummyimage.com/164x172.png/ff4444/ffffff,Pink,Music
24,Cloves - Ground,69,http://dummyimage.com/201x248.png/ff4444/ffffff,http://dummyimage.com/167x222.png/dddddd/000000,http://dummyimage.com/175x146.png/cc0000/ffffff,Blue,Movies
25,Veal - Eye Of Round,70,http://dummyimage.com/151x197.png/ff4444/ffffff,http://dummyimage.com/137x100.png/5fa2dd/ffffff,http://dummyimage.com/105x126.png/cc0000/ffffff,Turquoise,Baby
26,Saskatoon Berries - Frozen,61,http://dummyimage.com/136x180.png/5fa2dd/ffffff,http://dummyimage.com/192x149.png/5fa2dd/ffffff,http://dummyimage.com/119x126.png/5fa2dd/ffffff,Violet,Clothing
27,Beans - French,17,http://dummyimage.com/115x216.png/dddddd/000000,http://dummyimage.com/231x145.png/ff4444/ffffff,http://dummyimage.com/140x128.png/5fa2dd/ffffff,Violet,Health
28,"Wine - Red, Harrow Estates, Cab",20,http://dummyimage.com/154x147.png/ff4444/ffffff,http://dummyimage.com/176x215.png/5fa2dd/ffffff,http://dummyimage.com/203x190.png/dddddd/000000,Maroon,Tools
29,Bread - Bistro Sour,54,http://dummyimage.com/204x250.png/5fa2dd/ffffff,http://dummyimage.com/219x105.png/dddddd/000000,http://dummyimage.com/222x123.png/5fa2dd/ffffff,Teal,Music
30,Breakfast Quesadillas,67,http://dummyimage.com/197x237.png/cc0000/ffffff,http://dummyimage.com/220x201.png/cc0000/ffffff,http://dummyimage.com/108x116.png/dddddd/000000,Goldenrod,Jewelry
31,"Beef - Bones, Marrow",16,http://dummyimage.com/107x160.png/cc0000/ffffff,http://dummyimage.com/146x170.png/cc0000/ffffff,http://dummyimage.com/208x214.png/dddddd/000000,Purple,Home
32,Syrup - Kahlua Chocolate,35,http://dummyimage.com/195x228.png/5fa2dd/ffffff,http://dummyimage.com/149x234.png/dddddd/000000,http://dummyimage.com/231x149.png/dddddd/000000,Pink,Computers
33,Shallots,29,http://dummyimage.com/148x214.png/cc0000/ffffff,http://dummyimage.com/149x222.png/ff4444/ffffff,http://dummyimage.com/223x107.png/5fa2dd/ffffff,Turquoise,Health
34,Tart - Raisin And Pecan,59,http://dummyimage.com/161x248.png/5fa2dd/ffffff,http://dummyimage.com/131x192.png/5fa2dd/ffffff,http://dummyimage.com/156x193.png/cc0000/ffffff,Indigo,Health
35,Pumpkin,54,http://dummyimage.com/107x180.png/ff4444/ffffff,http://dummyimage.com/204x202.png/dddddd/000000,http://dummyimage.com/214x200.png/5fa2dd/ffffff,Orange,Movies
36,Mustard - Individual Pkg,93,http://dummyimage.com/134x165.png/5fa2dd/ffffff,http://dummyimage.com/145x205.png/ff4444/ffffff,http://dummyimage.com/173x125.png/5fa2dd/ffffff,Khaki,Baby
37,Milk - Chocolate 250 Ml,24,http://dummyimage.com/116x151.png/cc0000/ffffff,http://dummyimage.com/125x108.png/ff4444/ffffff,http://dummyimage.com/188x195.png/ff4444/ffffff,Orange,Books
38,Wine - Niagara Peninsula Vqa,47,http://dummyimage.com/224x221.png/5fa2dd/ffffff,http://dummyimage.com/183x180.png/dddddd/000000,http://dummyimage.com/166x153.png/ff4444/ffffff,Aquamarine,Toys
39,Cake - Lemon Chiffon,31,http://dummyimage.com/104x211.png/ff4444/ffffff,http://dummyimage.com/210x247.png/5fa2dd/ffffff,http://dummyimage.com/239x196.png/ff4444/ffffff,Puce,Clothing
40,"Mushroom - Oyster, Fresh",94,http://dummyimage.com/157x190.png/ff4444/ffffff,http://dummyimage.com/172x148.png/dddddd/000000,http://dummyimage.com/168x113.png/cc0000/ffffff,Khaki,Sports
41,Sauce - Balsamic Viniagrette,32,http://dummyimage.com/183x114.png/5fa2dd/ffffff,http://dummyimage.com/233x139.png/ff4444/ffffff,http://dummyimage.com/139x158.png/5fa2dd/ffffff,Blue,Shoes
42,Tofu - Soft,40,http://dummyimage.com/131x246.png/ff4444/ffffff,http://dummyimage.com/156x119.png/cc0000/ffffff,http://dummyimage.com/211x187.png/ff4444/ffffff,Red,Jewelry
43,Sprouts Dikon,72,http://dummyimage.com/235x128.png/5fa2dd/ffffff,http://dummyimage.com/230x132.png/5fa2dd/ffffff,http://dummyimage.com/194x111.png/dddddd/000000,Maroon,Computers
44,"Doilies - 7, Paper",90,http://dummyimage.com/129x142.png/5fa2dd/ffffff,http://dummyimage.com/136x144.png/ff4444/ffffff,http://dummyimage.com/217x149.png/dddddd/000000,Pink,Outdoors
45,"Cheese - Brie, Triple Creme",33,http://dummyimage.com/167x177.png/dddddd/000000,http://dummyimage.com/125x121.png/5fa2dd/ffffff,http://dummyimage.com/228x203.png/5fa2dd/ffffff,Fuscia,Baby
46,Wine - Magnotta - Belpaese,54,http://dummyimage.com/144x248.png/5fa2dd/ffffff,http://dummyimage.com/154x161.png/dddddd/000000,http://dummyimage.com/184x166.png/ff4444/ffffff,Maroon,Garden
47,"Ice - Clear, 300 Lb For Carving",45,http://dummyimage.com/132x170.png/ff4444/ffffff,http://dummyimage.com/168x124.png/cc0000/ffffff,http://dummyimage.com/240x101.png/cc0000/ffffff,Turquoise,Home
48,Hot Choc Vending,76,http://dummyimage.com/116x171.png/5fa2dd/ffffff,http://dummyimage.com/120x105.png/5fa2dd/ffffff,http://dummyimage.com/171x146.png/ff4444/ffffff,Turquoise,Automotive
49,Bread - Malt,58,http://dummyimage.com/109x229.png/dddddd/000000,http://dummyimage.com/181x218.png/dddddd/000000,http://dummyimage.com/248x221.png/dddddd/000000,Aquamarine,Jewelry
50,V8 - Tropical Blend,80,http://dummyimage.com/199x141.png/cc0000/ffffff,http://dummyimage.com/192x187.png/5fa2dd/ffffff,http://dummyimage.com/169x135.png/5fa2dd/ffffff,Turquoise,Music
51,Wine - Barbera Alba Doc 2001,60,http://dummyimage.com/173x140.png/dddddd/000000,http://dummyimage.com/196x160.png/cc0000/ffffff,http://dummyimage.com/240x206.png/dddddd/000000,Purple,Sports
52,Cups 10oz Trans,89,http://dummyimage.com/189x131.png/5fa2dd/ffffff,http://dummyimage.com/217x248.png/cc0000/ffffff,http://dummyimage.com/203x171.png/cc0000/ffffff,Violet,Books
53,Dc - Sakura Fu,32,http://dummyimage.com/193x240.png/dddddd/000000,http://dummyimage.com/128x216.png/ff4444/ffffff,http://dummyimage.com/105x169.png/cc0000/ffffff,Goldenrod,Beauty
54,"Juice - Orange, 341 Ml",75,http://dummyimage.com/112x143.png/ff4444/ffffff,http://dummyimage.com/105x237.png/5fa2dd/ffffff,http://dummyimage.com/197x189.png/ff4444/ffffff,Violet,Movies
55,Pork - Side Ribs,47,http://dummyimage.com/176x101.png/ff4444/ffffff,http://dummyimage.com/177x163.png/cc0000/ffffff,http://dummyimage.com/197x212.png/dddddd/000000,Green,Garden
56,"Cheese - Cheddar, Old White",87,http://dummyimage.com/110x237.png/cc0000/ffffff,http://dummyimage.com/213x244.png/dddddd/000000,http://dummyimage.com/205x135.png/dddddd/000000,Turquoise,Grocery
57,Bread - Dark Rye,34,http://dummyimage.com/172x235.png/5fa2dd/ffffff,http://dummyimage.com/107x229.png/ff4444/ffffff,http://dummyimage.com/122x195.png/5fa2dd/ffffff,Indigo,Books
58,"Chicken - Wings, Tip Off",39,http://dummyimage.com/154x244.png/dddddd/000000,http://dummyimage.com/148x234.png/dddddd/000000,http://dummyimage.com/108x157.png/5fa2dd/ffffff,Turquoise,Outdoors
59,"Soup - Campbells, Minestrone",51,http://dummyimage.com/134x230.png/5fa2dd/ffffff,http://dummyimage.com/111x203.png/dddddd/000000,http://dummyimage.com/130x157.png/dddddd/000000,Violet,Outdoors
60,Truffle Cups - Brown,81,http://dummyimage.com/210x151.png/cc0000/ffffff,http://dummyimage.com/168x137.png/cc0000/ffffff,http://dummyimage.com/195x127.png/ff4444/ffffff,Pink,Home
61,Juice - Lime,7,http://dummyimage.com/141x152.png/5fa2dd/ffffff,http://dummyimage.com/188x139.png/ff4444/ffffff,http://dummyimage.com/194x244.png/dddddd/000000,Blue,Electronics
62,Ecolab - Solid Fusion,78,http://dummyimage.com/208x218.png/dddddd/000000,http://dummyimage.com/146x133.png/cc0000/ffffff,http://dummyimage.com/192x199.png/dddddd/000000,Yellow,Games
63,Lettuce - Spring Mix,6,http://dummyimage.com/238x149.png/dddddd/000000,http://dummyimage.com/104x215.png/5fa2dd/ffffff,http://dummyimage.com/198x234.png/dddddd/000000,Mauv,Books
64,Beef - Striploin Aa,61,http://dummyimage.com/159x247.png/5fa2dd/ffffff,http://dummyimage.com/140x192.png/dddddd/000000,http://dummyimage.com/247x186.png/5fa2dd/ffffff,Puce,Kids
65,Compound - Passion Fruit,8,http://dummyimage.com/107x195.png/dddddd/000000,http://dummyimage.com/131x218.png/dddddd/000000,http://dummyimage.com/250x153.png/ff4444/ffffff,Aquamarine,Shoes
66,Hinge W Undercut,90,http://dummyimage.com/210x159.png/cc0000/ffffff,http://dummyimage.com/118x161.png/ff4444/ffffff,http://dummyimage.com/220x186.png/cc0000/ffffff,Khaki,Beauty
67,Beef - Eye Of Round,48,http://dummyimage.com/109x125.png/5fa2dd/ffffff,http://dummyimage.com/183x169.png/dddddd/000000,http://dummyimage.com/136x137.png/dddddd/000000,Green,Books
68,Pastry - French Mini Assorted,16,http://dummyimage.com/225x145.png/ff4444/ffffff,http://dummyimage.com/158x169.png/ff4444/ffffff,http://dummyimage.com/223x107.png/ff4444/ffffff,Indigo,Toys
69,Shopper Bag - S - 4,17,http://dummyimage.com/242x231.png/cc0000/ffffff,http://dummyimage.com/219x151.png/cc0000/ffffff,http://dummyimage.com/188x226.png/dddddd/000000,Aquamarine,Automotive
70,"Beef - Rouladin, Sliced",66,http://dummyimage.com/129x201.png/ff4444/ffffff,http://dummyimage.com/201x241.png/cc0000/ffffff,http://dummyimage.com/211x107.png/cc0000/ffffff,Purple,Books
71,Compound - Strawberry,77,http://dummyimage.com/148x161.png/5fa2dd/ffffff,http://dummyimage.com/178x199.png/5fa2dd/ffffff,http://dummyimage.com/169x201.png/ff4444/ffffff,Yellow,Sports
72,Wine - Champagne Brut Veuve,86,http://dummyimage.com/192x199.png/cc0000/ffffff,http://dummyimage.com/147x145.png/cc0000/ffffff,http://dummyimage.com/171x121.png/ff4444/ffffff,Puce,Garden
73,Silicone Parch. 16.3x24.3,53,http://dummyimage.com/200x238.png/5fa2dd/ffffff,http://dummyimage.com/172x200.png/dddddd/000000,http://dummyimage.com/232x104.png/cc0000/ffffff,Indigo,Home
74,Cumin - Whole,49,http://dummyimage.com/146x154.png/ff4444/ffffff,http://dummyimage.com/200x209.png/5fa2dd/ffffff,http://dummyimage.com/103x241.png/cc0000/ffffff,Khaki,Industrial
75,Water - Green Tea Refresher,69,http://dummyimage.com/183x189.png/ff4444/ffffff,http://dummyimage.com/126x204.png/cc0000/ffffff,http://dummyimage.com/147x165.png/cc0000/ffffff,Blue,Tools
76,"Lemonade - Strawberry, 591 Ml",69,http://dummyimage.com/133x166.png/ff4444/ffffff,http://dummyimage.com/181x174.png/5fa2dd/ffffff,http://dummyimage.com/239x215.png/cc0000/ffffff,Violet,Movies
77,Pears - Bosc,20,http://dummyimage.com/115x190.png/5fa2dd/ffffff,http://dummyimage.com/195x188.png/5fa2dd/ffffff,http://dummyimage.com/184x215.png/5fa2dd/ffffff,Aquamarine,Movies
78,Parsley - Fresh,15,http://dummyimage.com/173x158.png/ff4444/ffffff,http://dummyimage.com/164x128.png/dddddd/000000,http://dummyimage.com/134x153.png/ff4444/ffffff,Fuscia,Movies
79,Napkin Colour,10,http://dummyimage.com/130x129.png/dddddd/000000,http://dummyimage.com/244x155.png/cc0000/ffffff,http://dummyimage.com/221x162.png/ff4444/ffffff,Orange,Books
80,Bagel - Sesame Seed Presliced,21,http://dummyimage.com/241x241.png/5fa2dd/ffffff,http://dummyimage.com/233x235.png/cc0000/ffffff,http://dummyimage.com/239x139.png/dddddd/000000,Turquoise,Outdoors
81,Energy Drink - Franks Pineapple,94,http://dummyimage.com/120x142.png/dddddd/000000,http://dummyimage.com/162x214.png/5fa2dd/ffffff,http://dummyimage.com/182x207.png/dddddd/000000,Orange,Computers
82,Pastry - Banana Muffin - Mini,92,http://dummyimage.com/181x215.png/5fa2dd/ffffff,http://dummyimage.com/104x151.png/ff4444/ffffff,http://dummyimage.com/222x129.png/cc0000/ffffff,Orange,Clothing
83,Sugar - Fine,88,http://dummyimage.com/141x170.png/cc0000/ffffff,http://dummyimage.com/124x127.png/dddddd/000000,http://dummyimage.com/169x229.png/5fa2dd/ffffff,Aquamarine,Beauty
84,"Pail - 4l White, With Handle",30,http://dummyimage.com/126x112.png/5fa2dd/ffffff,http://dummyimage.com/125x151.png/5fa2dd/ffffff,http://dummyimage.com/201x150.png/5fa2dd/ffffff,Purple,Sports
85,Tuna - Bluefin,4,http://dummyimage.com/104x185.png/dddddd/000000,http://dummyimage.com/118x232.png/5fa2dd/ffffff,http://dummyimage.com/246x147.png/5fa2dd/ffffff,Aquamarine,Music
86,Flour - Semolina,9,http://dummyimage.com/114x188.png/ff4444/ffffff,http://dummyimage.com/152x119.png/dddddd/000000,http://dummyimage.com/104x225.png/cc0000/ffffff,Puce,Music
87,Oil - Sunflower,39,http://dummyimage.com/149x172.png/dddddd/000000,http://dummyimage.com/121x157.png/cc0000/ffffff,http://dummyimage.com/153x106.png/ff4444/ffffff,Indigo,Beauty
88,Tuna - Salad Premix,53,http://dummyimage.com/212x122.png/dddddd/000000,http://dummyimage.com/175x238.png/cc0000/ffffff,http://dummyimage.com/154x131.png/cc0000/ffffff,Pink,Shoes
89,Sauce - Ranch Dressing,1,http://dummyimage.com/137x121.png/dddddd/000000,http://dummyimage.com/198x195.png/cc0000/ffffff,http://dummyimage.com/140x120.png/5fa2dd/ffffff,Green,Grocery
90,"Wine - Magnotta - Red, Baco",99,http://dummyimage.com/114x163.png/5fa2dd/ffffff,http://dummyimage.com/151x152.png/dddddd/000000,http://dummyimage.com/179x166.png/dddddd/000000,Red,Shoes
91,Grapes - Red,72,http://dummyimage.com/188x126.png/dddddd/000000,http://dummyimage.com/135x228.png/cc0000/ffffff,http://dummyimage.com/163x231.png/5fa2dd/ffffff,Maroon,Garden
92,Potato - Sweet,56,http://dummyimage.com/157x191.png/dddddd/000000,http://dummyimage.com/205x200.png/5fa2dd/ffffff,http://dummyimage.com/166x143.png/dddddd/000000,Fuscia,Toys
93,Cheese - Brie,100,http://dummyimage.com/164x103.png/dddddd/000000,http://dummyimage.com/231x125.png/cc0000/ffffff,http://dummyimage.com/103x147.png/dddddd/000000,Orange,Shoes
94,Pepper - Sorrano,54,http://dummyimage.com/203x140.png/5fa2dd/ffffff,http://dummyimage.com/124x219.png/ff4444/ffffff,http://dummyimage.com/128x171.png/cc0000/ffffff,Orange,Music
95,Smoked Tongue,30,http://dummyimage.com/115x119.png/ff4444/ffffff,http://dummyimage.com/208x128.png/cc0000/ffffff,http://dummyimage.com/127x190.png/5fa2dd/ffffff,Pink,Sports
96,Spice - Paprika,77,http://dummyimage.com/148x138.png/cc0000/ffffff,http://dummyimage.com/209x132.png/5fa2dd/ffffff,http://dummyimage.com/220x177.png/cc0000/ffffff,Crimson,Movies
97,Persimmons,13,http://dummyimage.com/111x100.png/dddddd/000000,http://dummyimage.com/213x202.png/5fa2dd/ffffff,http://dummyimage.com/234x111.png/ff4444/ffffff,Indigo,Grocery
98,V8 - Tropical Blend,45,http://dummyimage.com/227x107.png/cc0000/ffffff,http://dummyimage.com/142x139.png/ff4444/ffffff,http://dummyimage.com/225x221.png/ff4444/ffffff,Blue,Health
99,Pork - Belly Fresh,37,http://dummyimage.com/102x174.png/cc0000/ffffff,http://dummyimage.com/227x190.png/dddddd/000000,http://dummyimage.com/105x232.png/5fa2dd/ffffff,Green,Automotive
100,Lettuce - Lolla Rosa,81,http://dummyimage.com/212x122.png/cc0000/ffffff,http://dummyimage.com/184x142.png/ff4444/ffffff,http://dummyimage.com/180x143.png/dddddd/000000,Maroon,Garden
